model_name,top1_acc,top5_acc,samples,model_file_mb,param_bytes_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,host_steady_mean_delta_median_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,dev_steady_mean_delta_median_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,dev_global_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p90_j_per_sample,energy_p95_j_per_sample,energy_p99_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample
convnext_tiny.onnx,0.822,0.966,1000,109.18,109.06,1406.088945448,1420.317004,159.39400797021472,627.635454,1978.265051,1420.317004,1582.3228608,1640.4532215,1748.01552986,0.7219457138646797,0.7040681755883491,0.09882651785215427,0.505493437036916,1.5932815675514724,0.7040681755883491,0.8257733512792474,0.885520094117553,1.1065173112386453,1881.0453125,1881.0546875,1881.0546875,1881.0546875,1881.0546875,,,,,,585.421875,585.421875,,,2466.4765625,585.421875,,1881.0546875,,Unknown/No-device,0,0,0,0,0,0,,
deit_tiny_distilled_patch16_224.onnx,0.741,0.916,1000,22.67,22.55,367.378029972,385.4436055,102.02976205460489,21.978786,658.162709,385.4436055,466.1371068,492.47861739999996,543.0706868,3.7178579812612678,2.594413259190816,4.846918091580161,1.5193811292034172,45.4984183384833,2.594413259190816,3.9519711038658354,9.453028936356617,31.48176079671344,1151.50821875,1151.62109375,1151.62109375,1151.62109375,1151.62109375,,,,,,1213.19140625,1213.19140625,,,2364.8125,3030.87890625,,1151.62109375,,Unknown/No-device,0,0,0,0,0,0,,
densenet121.onnx,0.733,0.909,1000,30.81,30.67,749.032964654,763.1267895000001,114.92589561891673,46.745971,1158.503547,763.1267895000001,862.7154552000001,895.19642455,989.06055675,1.4190073355147037,1.310398256548679,0.9175097411189203,0.863182510394161,21.39221795178883,1.310398256548679,1.5666845682844837,1.8322414169811723,2.923802497137116,1148.5,1148.5,1148.5,1148.5,1148.5,,,,,,1214.64453125,1214.64453125,,,2363.14453125,3030.87890625,,1148.5,,Unknown/No-device,0,0,0,0,0,0,,
efficientnet_b0.onnx,0.771,0.929,1000,20.16,20.09,152.856862193,157.946686,67.02426169415952,10.280736,432.618397,157.946686,228.9544538,253.06872269999994,325.63116174000004,11.951127427906762,6.331250287067716,18.41991769437753,2.3115059529010273,97.26930056369507,6.331250287067716,19.906917399682236,54.474624978494326,94.15128743510513,1148.546875,1148.546875,1148.546875,1148.546875,1148.546875,,,,,,1214.609375,1214.609375,,,2363.15625,3030.87890625,,1148.546875,,Unknown/No-device,0,0,0,0,0,0,,
inception_v3.onnx,0.769,0.931,1000,90.9,90.86,1260.1445811649999,1284.9788604999999,201.8709520604023,430.646613,2189.685969,1284.9788604999999,1447.6020893,1539.8993630999996,1703.6834980099998,0.8217420739648771,0.7782229192613672,0.1909989436041439,0.45668649028092667,2.322089550487188,0.7782229192613672,0.9724503970383254,1.1520765125720756,1.798609449019883,2413.48828125,2413.48828125,2413.48828125,2413.48828125,2413.48828125,,,,,,1214.4140625,1214.4140625,,,3627.90234375,3030.87890625,,2413.48828125,,Unknown/No-device,0,0,0,0,0,0,,
levit_128s.onnx,0.741,0.923,1000,31.64,31.5,79.98103150499999,76.6059525,54.215165872314834,6.770515,386.812538,76.6059525,153.1160125,172.28739149999998,212.81371539999998,29.790967491542673,13.053817507873827,35.695116899694696,2.585231609012632,147.69925182943987,13.053817507873827,102.35140897902684,121.9957355045413,123.69444761650479,1148.95259375,1148.90234375,1149.27734375,1149.27734375,1148.90234375,,,,,,1586.24609375,1586.24609375,,,2735.5234375,4650.65234375,,1148.90234375,,Unknown/No-device,0,0,0,0,0,0,,
mnasnet1_0.onnx,0.729,0.906,1000,16.67,16.65,63.781641535000006,70.43904599999999,35.91180105742648,3.079825,236.206418,70.43904599999999,95.57992790000002,106.27774804999991,173.14392745,41.56269513564954,14.196675967288089,62.643634735268996,4.233585219517617,324.69377318516473,14.196675967288089,186.15902607459145,190.56877774644983,256.018021293086,1148.67578125,1148.67578125,1148.67578125,1148.67578125,1148.67578125,,,,,,1586.66796875,1586.66796875,,,2735.34375,4650.65234375,,1148.67578125,,Unknown/No-device,0,0,0,0,0,0,,
mobilenet_v2.onnx,0.713,0.906,1000,13.34,13.3,60.366574835,67.0321055,34.1991399570048,3.189059,230.794009,67.0321055,92.38817200000001,101.35592104999999,156.20359125000002,43.943026556557406,14.918311302851667,65.2984674344549,4.33286810317507,313.57212268572016,14.918311302851667,184.6861538204477,188.99586685759712,277.47715830408214,1148.75,1148.75,1148.75,1148.75,1148.75,,,,,,1586.6875,1586.6875,,,2735.4375,4650.65234375,,1148.75,,Unknown/No-device,0,0,0,0,0,0,,
mobilenet_v3_small.onnx,0.674,0.868,1000,9.71,9.68,3.921741622,1.5966375,13.348337979727471,1.543402,152.743252,1.5966375,1.7620291000000001,5.401473899999999,80.03611217999998,590.2032189081139,626.3162445248886,131.03508366375738,6.546934066848333,647.9193366342664,626.3162445248886,643.5143128949347,645.0272911097858,646.7653560710311,1148.5625,1148.5625,1148.5625,1148.5625,1148.5625,,,,,,1586.84765625,1586.84765625,,,2735.41015625,4650.65234375,,1148.5625,,Unknown/No-device,0,0,0,0,0,0,,
mobilevit_xxs.onnx,0.663,0.875,1000,5.04,4.85,92.17487713899999,93.3262915,57.70078499434501,7.636053,365.98854,93.3262915,164.0857753,182.85165765,231.75932820999998,27.100472155036236,10.715097109253145,35.854695892053286,2.732325990316528,130.95770812486504,10.715097109253145,96.70429918450752,125.50033753839065,126.59804798385612,1852.4270625,1852.5234375,1852.5234375,1852.5234375,1852.5234375,,,,,,439.89453125,439.89453125,,,2292.41796875,4650.65234375,,1852.5234375,,Unknown/No-device,0,0,0,0,0,0,,
